ID,FEMALE,MALE,BYEAR,AGE,AGEMBTH,HHINC97,POVRAT97,HHBMBF,HHBMOF,HHOMBF,HHBMONLY,HHBFONLY,HHOTHER,MSA97NO,MSA97NCC,MSA97CC,MSA97NK,ETHBLACK,ETHHISP,ETHWHITE,S,EDUCPROF,EDUCPHD,EDUCMAST,EDUCBA,EDUCAA,EDUCHSD,EDUCGED,EDUCDO,PRMONM,PRMONF,PRMSTYUN,PRMSTYPE,PRMSTYAN,PRMSTYAE,PRFSTYUN,PRFSTYPE,PRFSTYAN,PRFSTYAE,SINGLE,MARRIED,COHABIT,OTHSING,FAITHN,FAITHP,FAITHC,FAITHJ,FAITHO,FAITHM,ASVABAR,ASVABWK,ASVABPC,ASVABMK,ASVABNO,ASVABCS,ASVABC,ASVABC4,VERBAL,ASVABMV,HEIGHT,WEIGHT04,WEIGHT11,SF,SM,SFR,SMR,SIBLINGS,REG97NE,REG97NC,REG97S,REG97W,RS97RURL,RS97URBN,RS97UNKN,JOBS,EARNINGS,HOURS,TENURE,CATGOV,CATPRI,CATNPO,CATMIS,CATSE,COLLBARG,URBAN,REGNE,REGNC,REGW,REGS,MSA11NO,MSA11NCC,MSA11CC,MSA11NK,MSA11NIC,EXP
618,0,1,1981,30,23,74100,396,1,0,0,0,0,0,0,1,0,0,0,1,0,12,0,0,0,0,0,1,0,0,,,,,,,,,,,0,0,1,0,0,0,1,0,0,0,.0341482,-.0435271,.4688823,.4974703,.6526209,-.8549008,.1352033,.267162,.2264401,59993,68,210,245,12,11,12,11,2,0,0,0,1,1,0,0,6,20,40,.6538461,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10.19231
3253,0,1,1984,27,33,,,1,0,0,0,0,0,0,0,1,0,0,0,1,13,0,0,0,0,0,1,0,0,9,10,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,-.7742655,.8340177,-.1438289,-.5431682,-.7066867,-.529883,-.2363054,-.1761514,.3676698,35741,72,165,180,13,16,13,16,1,0,1,0,0,0,1,0,6,7.65,33,.9423077,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,4.615385
537,0,1,1982,29,22,36960,231,0,0,0,1,0,0,0,1,0,0,0,0,1,11,0,0,0,0,0,0,0,1,6,,0,1,0,0,,,,,0,0,1,0,0,0,1,0,0,0,-2.571871,-.8995346,-1.313528,-1.362414,-1.263278,-3.356692,-2.021991,-1.720846,-1.180568,5305,73,270,265,10,13,,13,2,0,0,0,1,0,1,0,9,17.44,20,5.076923,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10.03846
1367,0,1,1984,27,26,51512,324,1,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,1,0,0,0,0,10,9,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1.592383,1.60578,1.430849,1.05763,1.173893,1.801206,1.709106,1.590669,1.618972,93929,67,170,180,12,14,12,14,1,0,0,1,0,0,1,0,3,22.6,40,4.596154,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,5.730769
4193,0,1,1982,29,23,974,6,0,0,0,1,0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,1,0,0,,8,,,,,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-.2489113,.8762007,-.3571559,-.6712083,-.6585652,-.6282054,.0053864,-.1128619,.2764027,43811,67,181,186,10,12,,12,7,0,0,1,0,0,1,0,10,13,48,2.903846,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,9.576923
5611,0,1,1981,30,22,,,0,0,0,0,0,1,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,1,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,.1023452,-1.687221,-.3373617,-.5881041,.675207,.4448238,-.5005256,-.7030998,-1.080055,20859,70,142,185,7,12,,,6,0,0,1,0,1,0,0,11,8,30,.3653846,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7.365385
5781,0,1,1980,31,20,1200,8,1,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,1,,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-2.57521,-1.418553,-2.547848,-2.991276,-2.003559,-1.232543,-2.505618,-2.668225,-2.115582,583,66,177,155,12,11,12,11,3,0,0,1,0,1,0,0,,17,40,.9230769,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,8
2394,0,1,1982,29,28,,,1,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,0,12,8,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.234373,.5096707,1.339849,.8235768,.5450914,.4773397,1.186153,1.092802,.9859143,87388,73,200,210,13,15,13,15,1,1,0,0,0,0,1,0,5,13.5,45,5.019231,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,6.442307
2941,0,1,1983,28,32,246474,1627,1,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,0,12,8,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,.6252546,.9889441,.2462464,.5108788,-.4168331,.4117173,.6825899,.6629409,.6583067,76618,69,160,155,20,16,20,16,2,0,1,0,0,0,1,0,4,19,40,4.5,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5
1827,0,1,1982,29,32,109000,582,1,0,0,0,0,0,0,1,0,0,0,0,1,14,0,0,0,0,1,0,0,0,10,8,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-.4812072,1.406645,.317865,-.3563493,-1.514528,-.3445725,.2089678,.2475681,.9192494,52930,74,275,213,16,12,16,12,2,0,1,0,0,0,1,0,5,41.2,45,3.75,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,10.75
